,Pos,Call_Freq
0,63231,0.999
1,63244,0.999
2,63799,0.999
3,68749,0.999
4,69094,0.999
5,69408,0.999
6,71093,0.999
7,74347,0.999
8,75254,0.999
9,80655,0.999
10,83611,0.999
11,87112,0.999
12,87416,0.999
13,88155,0.999
14,90814,0.999
15,90984,0.999
16,91088,0.999
17,91346,0.999
18,91508,0.999
19,92366,0.999
20,92527,0.999
21,96931,0.999
22,98930,0.999
23,100505,0.999
24,100699,0.999
25,101355,0.999
26,101362,0.999
27,102181,0.999
28,102441,0.999
29,103351,0.999
30,104534,0.999
31,118150,0.999
32,118222,0.999
33,119596,0.999
34,121976,0.999
35,123318,0.999
36,125121,0.999
37,126213,0.999
38,126285,0.999
39,126417,0.999
40,126529,0.999
41,126678,0.999
42,126930,0.999
43,127194,0.999
44,127720,0.999
45,128432,0.999
46,129063,0.999
47,129608,0.999
48,129635,0.999
49,130133,0.999
50,132775,0.999
51,134017,0.999
52,136568,0.999
53,136983,0.999
54,137900,0.999
55,139362,0.999
56,139419,0.999
57,139456,0.999
58,139576,0.999
59,139741,0.999
60,139745,0.999
61,139773,0.999
62,140086,0.999
63,144440,0.999
64,144570,0.999
65,145413,0.999
66,145492,0.999
67,145853,0.999
68,145976,0.999
69,146612,0.999
70,148084,0.999
71,151728,0.999
72,153057,0.999
73,153267,0.999
74,161638,0.999
75,162102,0.999
76,164083,0.999
77,164436,0.999
78,168241,0.999
79,168728,0.999
80,168739,0.999
81,169609,0.999
82,169701,0.999
83,169850,0.999
84,169995,0.999
85,170114,0.999
86,171189,0.999
87,174915,0.999
88,181638,0.999
89,182013,0.999
90,182084,0.999
91,183222,0.999
92,183271,0.999
93,183330,0.999
94,186405,0.999
95,188107,0.999
96,190335,0.999
97,191797,0.999
98,192715,0.999
99,193321,0.999
100,194282,0.999
101,194527,0.999
102,197162,0.999
103,198007,0.999
104,199823,0.999
105,201502,0.999
106,204024,0.999
107,206402,0.999
108,208168,0.999
109,208333,0.999
110,209851,0.999
111,209871,0.999
112,210061,0.999
113,210225,0.999
114,210269,0.999
115,210306,0.999
116,210469,0.999
117,213321,0.999
118,215641,0.999
119,215664,0.999
120,216647,0.999
121,217281,0.999
122,220303,0.999
123,220807,0.999
124,220865,0.999
125,221554,0.999
126,222262,0.999
127,222383,0.999
128,222417,0.999
129,222632,0.999
130,222836,0.999
131,223255,0.999
132,223351,0.999
133,224128,0.999
134,224971,0.999
135,226066,0.999
136,227563,0.999
137,227967,0.999
138,228428,0.999
139,230983,0.999
140,231505,0.999
141,232340,0.999
142,234373,0.999
143,235532,0.999
144,236802,0.999
145,236828,0.999
146,237411,0.999
147,237497,0.999
148,238530,0.999
149,239410,0.999
150,239519,0.999
151,239881,0.999
152,239937,0.999
153,240007,0.999
154,240043,0.999
155,240136,0.999
156,240144,0.999
157,240159,0.999
158,241118,0.999
159,241131,0.999
160,241638,0.999
161,242409,0.999
162,243147,0.999
163,243924,0.999
164,244333,0.999
165,248926,0.999
166,248935,0.999
167,250076,0.999
168,251494,0.999
169,252165,0.999
170,252256,0.999
171,253451,0.999
172,254013,0.999
173,254766,0.999
174,254851,0.999
175,254933,0.999
176,255137,0.999
177,255240,0.999
178,255763,0.999
179,256107,0.999
180,256886,0.999
181,256992,0.999
182,257032,0.999
183,258305,0.999
184,258748,0.999
185,258820,0.999
186,259156,0.999
187,259202,0.999
188,259398,0.999
189,261059,0.999
190,262111,0.999
191,263660,0.999
192,263938,0.999
193,264365,0.999
194,264472,0.999
195,264863,0.999
196,264997,0.999
197,265928,0.999
198,269006,0.999
199,269845,0.999
200,270204,0.999
201,270428,0.999
202,270634,0.999
203,271341,0.999
204,272437,0.999
205,274333,0.999
206,274541,0.999
207,277617,0.999
208,278806,0.999
209,279483,0.999
210,280671,0.999
211,283535,0.999
212,283877,0.999
213,284048,0.999
214,284755,0.999
215,284814,0.999
216,284834,0.999
217,285323,0.999
218,285349,0.999
219,286047,0.999
220,286731,0.999
221,286838,0.999
222,288233,0.999
223,288905,0.999
224,288922,0.999
225,288996,0.999
226,289362,0.999
227,289612,0.999
228,289785,0.999
229,290257,0.999
230,290297,0.999
231,290318,0.999
232,290778,0.999
233,291751,0.999
234,291789,0.999
235,291881,0.999
236,292418,0.999
237,292435,0.999
238,292615,0.999
239,295312,0.999
240,296172,0.999
241,297894,0.999
242,300482,0.999
243,300624,0.999
244,304086,0.999
245,308193,0.999
246,308403,0.999
247,308878,0.999
248,308923,0.999
249,310311,0.999
250,310366,0.999
251,310474,0.999
252,310765,0.999
253,311290,0.999
254,313237,0.999
255,316481,0.999
256,317824,0.999
257,317985,0.999
258,319905,0.999
259,321407,0.999
260,321502,0.999
261,322612,0.999
262,324123,0.999
263,325102,0.999
264,327037,0.999
265,329769,0.999
266,329842,0.999
267,330317,0.999
268,332302,0.999
269,333463,0.999
270,334027,0.999
271,334318,0.999
272,334768,0.999
273,335165,0.999
274,335225,0.999
275,337386,0.999
276,341946,0.999
277,342036,0.999
278,344079,0.999
279,344631,0.999
280,345617,0.999
281,345864,0.999
282,346751,0.999
283,347355,0.999
284,347459,0.999
285,347908,0.999
286,348319,0.999
287,348334,0.999
288,349224,0.999
289,349737,0.999
290,350490,0.999
291,351634,0.999
292,351725,0.999
293,351944,0.999
294,352647,0.999
295,352717,0.999
296,353085,0.999
297,353709,0.999
298,354338,0.999
299,354967,0.999
300,356003,0.999
301,356785,0.999
302,357570,0.999
303,358935,0.999
304,360403,0.999
305,360460,0.999
306,360722,0.999
307,360789,0.999
308,360933,0.999
309,362281,0.999
310,362328,0.999
311,362441,0.999
312,362945,0.999
313,364069,0.999
314,364747,0.999
315,365302,0.999
316,366115,0.999
317,366964,0.999
318,370055,0.999
319,370150,0.999
320,371781,0.999
321,371972,0.999
322,372076,0.999
323,372358,0.999
324,373667,0.999
325,373836,0.999
326,374384,0.999
327,375106,0.999
328,375754,0.999
329,376705,0.999
330,376857,0.999
331,377547,0.999
332,377810,0.999
333,377979,0.999
334,379541,0.999
335,380980,0.999
336,381132,0.999
337,381321,0.999
338,381670,0.999
339,382876,0.999
340,382948,0.999
341,383720,0.999
342,383760,0.999
343,384341,0.999
344,384526,0.999
345,384644,0.999
346,384898,0.999
347,384949,0.999
348,385052,0.999
349,385864,0.999
350,387757,0.999
351,387815,0.999
352,389984,0.999
353,390310,0.999
354,390646,0.999
355,391025,0.999
356,394585,0.999
357,395117,0.999
358,395194,0.999
359,395767,0.999
360,397928,0.999
361,398278,0.999
362,398884,0.999
363,399761,0.999
364,399768,0.999
365,402171,0.999
366,402710,0.999
367,402921,0.999
368,403192,0.999
369,403653,0.999
370,404395,0.999
371,404899,0.999
372,405578,0.999
373,406058,0.999
374,406876,0.999
375,408651,0.999
376,411242,0.999
377,411291,0.999
378,411319,0.999
379,411548,0.999
380,411555,0.999
381,411773,0.999
382,411842,0.999
383,413147,0.999
384,414133,0.999
385,415205,0.999
386,415964,0.999
387,416149,0.999
388,416400,0.999
389,416956,0.999
390,418199,0.999
391,418524,0.999
392,419067,0.999
393,420098,0.999
394,420105,0.999
395,422348,0.999
396,424433,0.999
397,425097,0.999
398,425434,0.999
399,425865,0.999
400,426057,0.999
401,426433,0.999
402,426899,0.999
403,428553,0.999
404,428767,0.999
405,430736,0.999
406,431502,0.999
407,432366,0.999
408,438919,0.999
409,439401,0.999
410,441991,0.999
411,443798,0.999
412,445791,0.999
413,448659,0.999
414,450375,0.999
415,450704,0.999
416,454179,0.999
417,454346,0.999
418,456717,0.999
419,459820,0.999
420,462515,0.999
421,463753,0.999
422,463995,0.999
423,464074,0.999
424,464100,0.999
425,467196,0.999
426,467358,0.999
427,467649,0.999
428,468001,0.999
429,471827,0.999
430,472727,0.999
431,473592,0.999
432,476160,0.999
433,476469,0.999
434,479450,0.999
435,485306,0.999
436,485503,0.999
437,487037,0.999
438,488433,0.999
439,488930,0.999
440,490124,0.999
441,491638,0.999
442,492830,0.999
443,493243,0.999
444,495909,0.999
445,496908,0.999
446,497779,0.999
447,501034,0.999
448,501876,0.999
449,502937,0.999
450,503119,0.999
451,503654,0.999
452,506801,0.999
453,508373,0.999
454,508478,0.999
455,508607,0.999
456,511897,0.999
457,512067,0.999
458,515927,0.999
459,517161,0.999
460,517857,0.999
461,519697,0.999
462,521770,0.999
463,525493,0.999
464,525885,0.999
465,526144,0.999
466,527967,0.999
467,530812,0.999
468,531174,0.999
469,531221,0.999
470,531978,0.999
471,532257,0.999
472,535497,0.999
473,536145,0.999
474,536536,0.999
475,536763,0.999
476,536859,0.999
477,538247,0.999
478,538829,0.999
479,539121,0.999
480,539833,0.999
481,541335,0.999
482,541589,0.999
483,542674,0.999
484,542700,0.999
485,543286,0.999
486,543616,0.999
487,543744,0.999
488,544015,0.999
489,544363,0.999
490,544914,0.999
491,544915,0.999
492,545197,0.999
493,545876,0.999
494,545905,0.999
495,547749,0.999
496,548059,0.999
497,548930,0.999
498,549364,0.999
499,549918,0.999
500,550395,0.999
501,550600,0.999
502,550818,0.999
503,551921,0.999
504,553269,0.999
505,554791,0.999
506,555019,0.999
507,555352,0.999
508,555624,0.999
509,556044,0.999
510,559400,0.999
511,559434,0.999
512,560938,0.999
513,561125,0.999
514,561189,0.999
515,562314,0.999
516,562445,0.999
517,563997,0.999
518,564893,0.999
519,565077,0.999
520,565610,0.999
521,565933,0.999
522,565985,0.999
523,567180,0.999
524,567652,0.999
525,568265,0.999
526,569650,0.999
527,574308,0.999
528,574847,0.999
529,577300,0.999
530,577322,0.999
531,577709,0.999
532,577856,0.999
533,579657,0.999
534,580434,0.999
535,583587,0.999
536,584863,0.999
537,586620,0.999
538,586955,0.999
539,587916,0.999
540,588089,0.999
541,588166,0.999
542,588277,0.999
543,591610,0.999
544,591694,0.999
545,591820,0.999
546,592038,0.999
547,592801,0.999
548,593076,0.999
549,593308,0.999
550,593641,0.999
551,593661,0.999
552,594355,0.999
553,595885,0.999
554,597387,0.999
555,597738,0.999
