Index,0.00–0.02,0.02–0.04,0.04–0.06,0.06–0.10,0.10–0.20,0.20–0.40,0.40–0.50
0,83611.0,101355.0,118150.0,69408.0,90984.0,63244.0,63799.0
1,88155.0,103351.0,139745.0,71093.0,91088.0,68749.0,126529.0
2,90814.0,119596.0,145976.0,80655.0,91346.0,69094.0,126930.0
3,102441.0,126213.0,146612.0,100505.0,92527.0,74347.0,134017.0
4,104534.0,126285.0,193321.0,128432.0,98930.0,75254.0,140086.0
5,118222.0,126678.0,220865.0,148084.0,100699.0,87112.0,144570.0
6,123318.0,127194.0,222262.0,153057.0,129063.0,87416.0,153267.0
7,126417.0,136568.0,234373.0,188107.0,130133.0,91508.0,169701.0
8,127720.0,136983.0,242409.0,194282.0,162102.0,92366.0,171189.0
9,129608.0,139419.0,244333.0,208333.0,164083.0,96931.0,182013.0
10,139741.0,151728.0,253451.0,215641.0,164436.0,101362.0,186405.0
11,139773.0,169609.0,263938.0,215664.0,168241.0,102181.0,194527.0
12,144440.0,170114.0,289612.0,223351.0,209851.0,121976.0,208168.0
13,145492.0,182084.0,290318.0,235532.0,210306.0,125121.0,217281.0
14,161638.0,183330.0,292615.0,239519.0,216647.0,129635.0,224971.0
15,168739.0,192715.0,300482.0,258748.0,220303.0,132775.0,230983.0
16,169850.0,197162.0,308878.0,261059.0,220807.0,137900.0,231505.0
17,174915.0,198007.0,308923.0,308403.0,222632.0,139362.0,236802.0
18,183271.0,201502.0,316481.0,310474.0,226066.0,139456.0,239410.0
19,190335.0,210225.0,317824.0,317985.0,232340.0,139576.0,254851.0
20,199823.0,222383.0,321407.0,319905.0,255763.0,145413.0,255240.0
21,204024.0,222417.0,329842.0,329769.0,258820.0,145853.0,256992.0
22,209871.0,236828.0,352647.0,345617.0,259202.0,168728.0,259398.0
23,210269.0,237411.0,376705.0,364747.0,264472.0,169995.0,263660.0
24,210469.0,239937.0,376857.0,365302.0,264863.0,181638.0,264365.0
25,213321.0,240136.0,377979.0,366964.0,284048.0,183222.0,279483.0
26,221554.0,241118.0,404899.0,381670.0,284814.0,191797.0,284834.0
27,227563.0,241638.0,422348.0,390310.0,290257.0,206402.0,285349.0
28,228428.0,243147.0,425865.0,405578.0,308193.0,210061.0,288233.0
29,239881.0,252256.0,426057.0,414133.0,311290.0,222836.0,289785.0
30,240007.0,271341.0,428553.0,468001.0,313237.0,223255.0,290297.0
31,240043.0,290778.0,450375.0,472727.0,321502.0,224128.0,291789.0
32,240144.0,292435.0,467649.0,479450.0,322612.0,227967.0,291881.0
33,240159.0,300624.0,503119.0,501034.0,324123.0,237497.0,292418.0
34,241131.0,304086.0,536145.0,536536.0,325102.0,238530.0,295312.0
35,243924.0,310366.0,548059.0,543286.0,332302.0,248926.0,345864.0
36,255137.0,334768.0,555624.0,587916.0,335225.0,248935.0,346751.0
37,269845.0,351634.0,556044.0,588277.0,337386.0,250076.0,349224.0
38,270204.0,351725.0,560938.0,599339.0,341946.0,251494.0,349737.0
39,274541.0,370055.0,561189.0,601223.0,342036.0,252165.0,357570.0
40,280671.0,372358.0,562445.0,604975.0,347459.0,254013.0,362441.0
41,286731.0,384526.0,595885.0,619611.0,348319.0,254766.0,387757.0
42,297894.0,390646.0,603206.0,640573.0,353709.0,254933.0,394585.0
43,310311.0,395767.0,627259.0,649644.0,362945.0,256107.0,402171.0
44,310765.0,406058.0,628742.0,675903.0,366115.0,256886.0,411842.0
45,327037.0,411319.0,643862.0,676575.0,374384.0,257032.0,419067.0
46,330317.0,413147.0,644093.0,686294.0,375106.0,258305.0,426433.0
47,334027.0,415964.0,649050.0,691821.0,375754.0,259156.0,428767.0
48,334318.0,416400.0,699284.0,694731.0,377547.0,262111.0,443798.0
49,335165.0,420098.0,737859.0,697916.0,377810.0,264997.0,450704.0
50,364069.0,426899.0,776826.0,701714.0,382876.0,265928.0,463995.0
51,372076.0,448659.0,807635.0,707937.0,383760.0,269006.0,467358.0
52,381132.0,459820.0,807864.0,717649.0,384644.0,270428.0,473592.0
53,382948.0,496908.0,818075.0,720558.0,385864.0,270634.0,488433.0
54,384949.0,501876.0,822256.0,723155.0,391025.0,272437.0,511897.0
55,395117.0,508373.0,834251.0,731474.0,397928.0,274333.0,512067.0
56,395194.0,517161.0,842696.0,767720.0,398278.0,277617.0,541589.0
57,398884.0,521770.0,861639.0,773989.0,399761.0,278806.0,542674.0
58,399768.0,530812.0,867186.0,782536.0,406876.0,283535.0,544914.0
59,404395.0,542700.0,869452.0,791957.0,411773.0,283877.0,544915.0
60,408651.0,544363.0,869457.0,797366.0,416956.0,284755.0,555352.0
61,411242.0,550600.0,883054.0,798547.0,420105.0,285323.0,563997.0
62,411291.0,597387.0,887675.0,802019.0,441991.0,286047.0,586955.0
63,411548.0,602188.0,901034.0,805771.0,456717.0,286838.0,591820.0
64,411555.0,624119.0,904895.0,809837.0,488930.0,288905.0,593661.0
65,418524.0,626502.0,907426.0,820012.0,492830.0,288922.0,602622.0
66,424433.0,628654.0,942098.0,820450.0,519697.0,288996.0,603620.0
67,432366.0,635054.0,953150.0,839588.0,531221.0,289362.0,604978.0
68,438919.0,645422.0,966165.0,840405.0,531978.0,291751.0,613963.0
69,439401.0,647715.0,1001135.0,844801.0,539833.0,296172.0,619392.0
70,445791.0,662247.0,1012026.0,883514.0,543616.0,333463.0,620693.0
