Index	Position	Call_Freq
0	1932644	0.9980237
1	38833082	0.999
2	42846481	0.999
3	49634333	0.999
4	852917	0.999
5	14318619	0.9980237
6	41383731	0.999
7	43560482	0.999
8	19452908	0.999
9	54006530	0.9980237
10	10280505	0.9980237
11	2040299	0.999
12	45633702	0.999
13	43433071	0.999
14	24102054	0.999
15	4786866	0.999
16	17329674	0.9980237
17	59375968	0.999
18	31534847	0.999
19	2739583	0.999
20	38120527	0.999
21	8838799	0.999
22	50494953	0.9960474
23	30872076	0.9822134
24	33977139	0.9980237
25	38182997	0.999
26	19832773	0.999
27	55381314	0.999
28	18073760	0.999
29	41059344	0.9980237
30	11411351	0.999
31	55902423	0.9980237
32	22016678	0.999
33	54496226	0.999
34	31623726	0.999
35	8490370	0.9980237
36	41065554	0.9940711
37	60463991	0.999
38	16592464	0.999
39	39619006	0.999
40	51348860	0.999
41	33132159	0.999
42	2721126	0.9980237
43	49759266	0.999
44	329842	0.999
45	16322738	0.999
46	8541240	0.999
47	13105853	0.9980237
48	21972232	0.9980237
49	46695252	0.9980237
50	31875475	0.999
51	60778208	0.9980237
52	16633065	0.999
53	23038812	0.999
54	54839236	0.999
55	47437990	0.999
56	40708234	0.9960474
57	39383659	0.9901186
58	41919576	0.999
59	4259547	0.999
60	53930476	0.999
61	49793595	0.999
62	23806536	0.9980237
63	44445434	0.9841897
64	10047038	0.999
65	15693944	0.9980237
66	37330843	0.999
67	16521447	0.9960474
68	2192927	0.999
69	1897045	0.9980237
70	43996807	0.999
71	21687344	0.9980237
72	50706993	0.9960474
73	54256416	0.999
74	4629946	0.999
75	46511472	0.999
76	5082531	0.999
77	9655984	0.9980237
78	34250648	0.9940711
79	48887093	0.999
80	32934334	0.999
81	50376958	0.999
82	9655837	0.999
83	7029474	0.9980237
84	61008794	0.999
85	60868251	0.999
86	6039909	0.999
87	39884471	0.9940711
88	10792434	0.999
89	12823299	0.999
90	30053144	0.9960474
91	39191840	0.999
92	37407587	0.999
93	40399258	0.999
94	16967730	0.999
95	55622206	0.9980237
96	19247594	0.999
97	9241308	0.999
98	51661874	0.999
99	45699253	0.999
100	11751303	0.999
101	7507821	0.9980237
102	18516588	0.999
103	40994094	0.999
104	21930379	0.999
105	10671078	0.999
106	54401804	0.999
107	53601641	0.999
108	11369714	0.999
109	61154795	0.9980237
110	11565564	0.999
111	42724814	0.999
112	60841894	0.999
113	29934978	0.999
114	24122779	0.999
115	39300264	0.999
116	15657994	0.999
117	376705	0.999
118	47108258	0.9980237
119	57301964	0.9980237
120	2676367	0.999
121	24411400	0.999
122	23363989	0.999
123	16741497	0.9980237
124	4983092	0.999
125	18035837	0.9960474
126	40587651	0.999
127	36753445	0.999
128	49758271	0.999
129	10134479	0.9881423
130	35157554	0.9980237
131	43949540	0.9960474
132	55305324	0.999
133	16696462	0.999
134	58811309	0.999
135	45922291	0.999
136	18981878	0.999
137	45606098	0.999
138	42846694	0.999
139	50428277	0.999
140	44227493	0.9980237
141	4152827	0.999
142	10782264	0.9980237
143	43379677	0.999
144	55354424	0.999
145	41327139	0.999
146	36379354	0.999
147	8647979	0.999
148	38121222	0.999
149	46895949	0.9960474
150	49800874	0.999
151	30150324	0.999
152	46802028	0.9980237
153	34775551	0.999
154	43417561	0.999
155	56638246	0.9960474
156	10733156	0.999
157	48309807	0.9960474
158	39851559	0.999
159	6154993	0.999
160	37517753	0.999
161	2113664	0.999
162	259156	0.999
163	39541493	0.999
164	46632575	0.999
165	4258071	0.999
166	3271855	0.999
167	30218100	0.9980237
168	5817640	0.999
169	9778729	0.9980237
170	6783274	0.999
171	50812718	0.999
172	40922844	0.999
173	62576568	0.999
174	43035743	0.9940711
175	8865868	0.999
176	41165408	0.9940711
177	39406113	0.999
178	60963739	0.999
179	44369191	0.9960474
180	40525099	0.9980237
181	25551620	0.9940711
182	58158793	0.999
183	17863392	0.999
184	61768527	0.999
185	56463740	0.999
186	41141345	0.999
187	38341797	0.999
188	24145833	0.999
189	53656284	0.999
190	45586018	0.999
191	45790961	0.999
192	9885653	0.999
193	59014332	0.9980237
194	16445319	0.9980237
195	23660515	0.999
196	51775840	0.9980237
197	1948512	0.999
198	55991146	0.999
199	13164888	0.999
200	53208593	0.999
201	49883030	0.999
202	49446578	0.999
203	52384363	0.999
204	42662576	0.999
205	1393861	0.999
206	7272388	0.9980237
207	21008101	0.999
208	39339774	0.999
209	17045926	0.9920949
210	57716676	0.999
211	20229351	0.999
212	5617636	0.999
213	2914511	0.9920949
214	50135011	0.999
215	47617465	0.999
216	60417469	0.9960474
217	6653623	0.999
218	19939888	0.999
219	10429663	0.999
220	55067135	0.999
221	42556503	0.999
222	8994390	0.999
223	31517789	0.999
224	50033102	0.999
225	36312386	0.9782609
226	61665310	0.999
227	12908009	0.9960474
228	30235417	0.999
229	12133935	0.999
230	4975599	0.986166
231	49945761	0.999
232	13088611	0.9980237
233	38651964	0.999
234	14503743	0.999
235	5973793	0.999
236	55776589	0.999
237	22549369	0.999
238	41436235	0.999
