Position	Call_Freq
61651	0.999
63231	0.999
63244	0.9980237
63799	0.9980237
68749	0.999
69094	0.999
69408	0.999
71093	0.999
74347	0.999
75254	0.9901186
80655	0.999
83611	0.999
87112	0.999
87416	0.999
88155	0.999
90814	0.999
90984	0.999
91088	0.999
91346	0.999
91508	0.9980237
92366	0.999
92527	0.999
96931	0.999
98930	0.9960474
100505	0.999
100699	0.999
101355	0.999
101362	0.999
102181	0.999
102441	0.999
103351	0.999
104534	0.999
118150	0.999
118222	0.999
119596	0.9960474
121976	0.9960474
123318	0.999
125121	0.999
126213	0.999
126285	0.999
126417	0.999
126529	0.9980237
126678	0.999
126930	0.999
127194	0.999
127720	0.999
128432	0.9980237
129063	0.999
129608	0.9980237
129635	0.999
130133	0.999
132775	0.999
134017	0.999
136568	0.999
136983	0.9980237
137900	0.9980237
139362	0.999
139419	0.999
139456	0.999
139576	0.999
139741	0.9980237
139745	0.9980237
139773	0.999
140086	0.999
144440	0.999
144570	0.999
145413	0.999
145492	0.9980237
145853	0.9980237
145976	0.999
146612	0.999
148084	0.9743083
151728	0.9980237
153057	0.999
153267	0.999
161638	0.999
162102	0.9901186
164083	0.9980237
164436	0.999
168241	0.999
168728	0.9980237
168739	0.9980237
169609	0.9822134
169701	0.999
169850	0.999
169995	0.9960474
170114	0.999
171189	0.999
174915	0.999
181638	0.9940711
182013	0.999
182084	0.9940711
183222	0.999
183271	0.999
183330	0.999
186405	0.999
188107	0.9980237
190335	0.999
191797	0.999
192715	0.999
193321	0.9980237
194282	0.999
194527	0.999
197162	0.9980237
198007	0.999
199823	0.999
201502	0.999
204024	0.999
206402	0.999
208168	0.999
208333	0.999
209851	0.999
209871	0.999
210061	0.999
210225	0.999
210269	0.999
210306	0.999
210469	0.999
213321	0.9980237
215641	0.999
215664	0.999
216647	0.999
217281	0.999
220303	0.999
220807	0.9960474
220865	0.999
221554	0.999
222262	0.999
222383	0.999
222417	0.9980237
222632	0.999
222836	0.999
223255	0.9980237
223351	0.999
224128	0.9980237
224971	0.999
226066	0.999
227563	0.999
227967	0.999
228428	0.999
230983	0.999
231505	0.9980237
232340	0.999
234373	0.9881423
235532	0.9881423
236802	0.9980237
236828	0.999
237411	0.999
237497	0.999
238530	0.9980237
239410	0.999
239519	0.999
239881	0.9980237
239937	0.9980237
240007	0.999
240043	0.999
240136	0.999
240144	0.999
240159	0.999
241118	0.999
241131	0.999
241638	0.9980237
242409	0.999
243147	0.9960474
243924	0.999
244333	0.9762846
248926	0.999
248935	0.999
250076	0.999
251494	0.9960474
252165	0.999
252256	0.999
253451	0.999
254013	0.999
254766	0.999
254851	0.999
254933	0.999
255137	0.999
255240	0.999
255763	0.9960474
256107	0.999
256886	0.9980237
256992	0.999
257032	0.999
258305	0.999
258748	0.999
258820	0.999
259156	0.999
259202	0.999
259398	0.9901186
261059	0.9980237
262111	0.9960474
263660	0.999
263938	0.9782609
264365	0.9980237
264472	0.999
264863	0.999
264997	0.9940711
265928	0.999
269006	0.999
269845	0.999
270204	0.999
270428	0.9920949
270634	0.9980237
271341	0.999
272437	0.9980237
274333	0.999
274541	0.999
277617	0.999
278806	0.9980237
279483	0.999
280671	0.999
283535	0.9960474
283877	0.9960474
284048	0.999
284755	0.9980237
284814	0.999
284834	0.9940711
285323	0.999
285349	0.9940711
286047	0.9822134
286731	0.999
286838	0.9920949
288233	0.9940711
288905	0.999
288922	0.9960474
288996	0.999
289362	0.999
289612	0.9980237
289785	0.999
290257	0.999
290297	0.9980237
290318	0.9980237
290778	0.9980237
291751	0.999
291789	0.999
291881	0.999
292418	0.9960474
292435	0.999
292615	0.999
295312	0.9960474
296172	0.999
297894	0.999
300482	0.999
300624	0.999
304086	0.9980237
308193	0.9802371
308403	0.999
308878	0.999
308923	0.9841897
310311	0.999
310366	0.999
310474	0.999
310765	0.9980237
311290	0.999
313237	0.999
316481	0.999
317824	0.999
317985	0.9920949
319905	0.999
321407	0.999
321502	0.999
322612	0.9940711
324123	0.9980237
325102	0.999
327037	0.9920949
329769	0.999
329842	0.999
330317	0.9881423
332302	0.999
333463	0.9960474
334027	0.9940711
334318	0.9980237
334768	0.999
335165	0.999
335225	0.999
337386	0.999
341946	0.999
342036	0.9980237
344079	0.999
344631	0.999
345617	0.999
345864	0.999
346751	0.9980237
347355	0.999
347459	0.9802371
347908	0.9960474
348319	0.9980237
348334	0.9980237
349224	0.999
349737	0.999
350490	0.999
351634	0.999
351725	0.999
351944	0.999
352647	0.9980237
352717	0.9980237
353085	0.999
353709	0.9980237
354338	0.999
354967	0.999
356003	0.999
356785	0.999
357570	0.999
358935	0.999
360403	0.999
360460	0.9980237
360722	0.9960474
360789	0.999
360933	0.999
362281	0.999
